title;mediaType;eps;startYr;finishYr;sznOfRelease;description;studios;tags
Mo Dao Zu Shi;Web;15;2018;2018;;As the grandmaster who founded the Demonic Sect, Wei WuXian roamed the world in his wanton ways, hated by millions for the chaos he created. In the end, he was back-stabbed by his dearest shidi and killed by powerful clans that combined to overpower him. He incarnates into the body of a lunatic who was abandoned by his clan and is later, unwillingly, taken away by a famous cultivator among the clans—Lan WangJi, his archenemy.;['G.CMay Animation & Film'];Action,Adventure,Mystery,Ancient China,Chinese Animation,Cultivation,Historical,Rebellions,Supernatural,Swordplay,War,Xianxia,Zombies,Based on a Light Novel
The Disappearance of Haruhi Suzumiya;Movie;1;2010;2010;;Yesterday, Kyon was helping prepare for an SOS Brigade Christmas party. But today, he wakes up to a whole other world. Haruhi and the SOS Brigade are gone, Koizumi's class is missing, Asahina doesn't recognize him, Nagato is still a Literary Club member and even Ryoko Asakura has returned. As the only person who notices that everything has changed, Kyon is left to discover what happened to his friends and figure out if his life truly is better without aliens, time travelers and ESPers.;['Kyoto Animation'];Drama,Sci Fi,Shounen,Psychological,Time Travel,Based on a Light Novel
Hajime no Ippo: Rising;TV;25;2013;2014;Fall;Ippo continues to defend his Japanese Featherweight title from an ever stronger pool of challengers. Meanwhile, Takamura challenges for his second WBC title in the middleweight class, and Aoki challenges for the Japanese Lightweight title and Coach Kamogawa and Nekota reminisce about their days as prizefighters after WWII.;['Mappa', 'MADHOUSE'];Action,Drama,Shounen,Sports,Boxing,Hand to Hand Combat,Based on a Manga
Fate/Zero 2;TV;12;2012;2012;Spring;The Holy Grail War wages unabated. The Servants face the impossible task of allying against Caster to win additional command spells, while beneath this thin veneer of amity, their Masters plot to destroy each other. Saber herself must battle not just the monsters bearing down upon her but the doubts inside her own heart about the path of valor she has chosen. After all, what is the place of ancient righteousness in a modern world where the only rule is to win at any cost? As the Holy Grail War enters its deadliest phase, the world becomes witness to both inconceivable horrors and incredible heroism - but the question remains which will prevail.;['ufotable'];Action,Fantasy,Contemporary Fantasy,Magic,Proxy Battles,Rivalries,Superpowers,Urban Fantasy,Based on a Light Novel
Cowboy Bebop;TV;26;1998;1999;Spring;Follow interstellar bounty hunters Spike Spiegel and Jet Black as they scour the galaxy for criminals with prices on their heads. Hoping to escape their past, they live on the spaceship Bebop, but it's a dangerous business and old enemies don't forget easily. Allies come from unlikely sources, however, as they find comrades in the beautiful swindler Faye Valentine, the genius child hacker Ed and the genetically engineered 'data dog' Ein. Will they be able to help each other though their respective struggles, or is their fate really inevitable?;['Sunrise'];Action,Adventure,Drama,Sci Fi,Bounty Hunters,Episodic,Noir,Outer Space,Western,Original Work
The Garden of Sinners Movie 5: Paradox Paradigm;Movie;1;2008;2008;;In November 1998, a double homicide occurs at the newly constructed Ogawa apartment complex. Shiki meets a boy named Tomoe Enjou, a runaway who claims to be the murderer, and lets him use her apartment as his hideout. From that day onward, their strange cohabitation begins. Coincidentally, Mikiya Kokutou is investigating a tip regarding the murder at that unique apartment complex...;['ufotable'];Mystery,Overpowered Main Characters,Supernatural,Based on a Light Novel
ERASED;TV;12;2016;2016;Winter;Satoru Fujinuma is a reclusive part-timer with no plans for the future. What sets him apart from the other slackers in his town is an involuntary time travel ability that allows him to jump back several seconds in time in order to prevent accidents and even deaths. As incidents around town begin reminding Satoru of a childhood trauma he'd sooner forget, he finally begins to question what caused his ability to surface and whether or not it's powerful enough to change the past.;['A-1 Pictures'];Drama,Mystery,Seinen,Age Transformation,Melancholy,noitaminA,Serial Killers,Supernatural,Thriller,Time Travel,Based on a Manga
Mo Dao Zu Shi 2;Web;8;2019;2019;;Second season of Mo Dao Zu Shi.;['G.CMay Animation & Film'];Action,Fantasy,Mystery,Ancient China,Chinese Animation,Cultivation,Historical,Martial Arts,Overpowered Main Characters,Supernatural,Swordplay,War,Xianxia,Zombies
I Want to Eat Your Pancreas;Movie;1;2018;2018;;An unnamed protagonist happens to find a diary in a hospital one day. The diary belongs to his classmate, a girl named Sakura Yamauchi, who is revealed to be suffering from a terminal illness in her pancreas, and who only has a few months left to live. Sakura explains that the protagonist is the only person apart from her family that knows about her condition. The protagonist promises to keep Sakura's secret. Despite their completely opposite personalities, the protagonist decides to be together with Sakura during her last few months.;['Studio VOLN'];Drama,Romance,Seinen,Coming of Age,Illness,Opposites Attract,School Life,Based on a Novel
Bunny Drop;TV;11;2011;2011;Summer;When Daikichi's grandfather dies he leaves behind a young daughter named Rin. However, as most of the family is embarrassed at the idea of a 79-year-old man having a six-year-old child, they can't seem to figure out what to do with her. Disgusted by this behavior, Daikichi decides to take care of her himself, but he's a bachelor, has no idea how to raise a child, and isn't even all that comfortable with kids! Now, Daikichi must do the normal things a parent does such as enroll her in school, buy her clothing and teach her about the life and world around her. But more importantly, he must also help her deal with her father's death and decide whether or not she should try to find her mother. Together, the two begin their unlikely relationship as father and daughter, navigating each of life's bumps along the way.;['Production I.G'];Drama,Josei,Slice of Life,Childcare,Family Life,Iyashikei,Lifestyle Change,noitaminA,Single Parent,Based on a Manga
Dr. Stone;TV;24;2019;2019;Summer;Several thousand years after a mysterious phenomenon that turns all of humanity to stone, the extraordinarily intelligent, science-driven boy, Senku Ishigami, awakens. Facing a world of stone and the total collapse of civilization, Senku makes up his mind to use science to rebuild the world. Starting with his super strong childhood friend Taiju Oki, who awakened at the same time, they will begin to rebuild civilization from nothing... Depicting two million years of scientific history from the Stone Age to present day, the unprecedented crafting adventure story is about to begin!;['TMS Entertainment', '8 Pan'];Adventure,Comedy,Sci Fi,Shounen,Modern Knowledge,Person in a Strange World,Post-apocalyptic,Prehistoric,Survival,Based on a Manga
The Disastrous Life of Saiki K. 2nd Season;TV;24;2018;2018;Winter;Second season of The Disastrous Life of Saiki K.;['J.C. Staff'];Comedy,Shounen,Slice of Life,Breaking the Fourth Wall,Gag,Psychic Powers,School Life,Supernatural,Superpowers,Based on a Manga
Fruits Basket 2nd Season;TV;10;2020;;Spring;Second season of Fruits Basket.;['TMS Entertainment', '8 Pan'];Comedy,Drama,Fantasy,Romance,Shoujo,Animal Transformation,Curse,Love Triangle,Based on a Manga
Hotarubi no Mori e;Movie;1;2011;2011;;While visiting her uncle for the summer, six year old Hotaru gets lost in the woods outside the village. Scared, the crying girl is eventually rescued by a gentle youkai named Gin, who is burdened with a curse that will cause him to disappear if ever touched by a human. Though they are barred from physical contact, the two become close friends. But after a few short years it becomes apparent that Gin ages more slowly than humans, so while Hotaru is growing up and changing, Gin remains in stasis. How will Hotaru adapt to the complicated emotions she develops as her and Gin's ages gradually converge?;[];Drama,Romance,Shoujo,Coming of Age,Forest,Japanese Mythology,Loneliness,Melancholy,Supernatural,Youkai,Based on a Manga
Yona of the Dawn: Zeno Arc;OVA;2;2016;2016;;The two anime episodes will completely cover the Zeno Arc, which tells the backstory of the character Zeno.;['Studio Pierrot'];Action,Adventure,Drama,Fantasy,Romance,Shoujo,Orphans,Political,Royalty,Based on a Manga
Great Teacher Onizuka;TV;43;1999;2000;Summer;With a history of leading a motorcycle gang and getting bad grades in school, why would 22 year old Onizuka ever want to become a teacher? Is it to educate young minds or spread the joy of education? Sure, if it involves being able to look up high school girls' skirts! Watch as this would-be educator uses his own life lessons and unconstituted methods as a means to control a delinquent class of students -- students who certainly aren't as happy to have him as a teacher as he is happy to be teaching...;['Studio Pierrot'];Comedy,Drama,Shounen,Delinquents,School Life,Slapstick,Teaching,Work Life,Based on a Manga
Natsume's Book of Friends Season 2;TV;13;2009;2009;Winter;Life continues as normal for Natsume - he still lives with the friendly Fujiwaras, walks home with his school friends, and spends his free time adventuring with spirits! However, as his encounters soon reveal, the relationship between spirits and humans is a delicate one and not always friendly either. As Natsume slowly uncovers the mystery of his grandmother Reiko as well as his own unique purpose, can he use the Book of Friends to reconcile the needs of spirits and humans?;[];Drama,Shoujo,Slice of Life,Bodyguards,Cats,Countryside,Episodic,Iyashikei,Japanese Mythology,Orphans,Supernatural,Youkai,Based on a Manga
Your lie in April;TV;22;2014;2015;Fall;Kousei Arima was a genius pianist until his mother's sudden death took away his ability to play. Each day was dull for Kousei. But, then he meets a violinist named Kaori Miyazono who has an eccentric playing style. His monotonus life was about to change forever.;['A-1 Pictures'];Drama,Romance,Shounen,Classical Music,Illness,Melancholy,Mental Illness,Music,noitaminA,Psychological,School Life,Tournaments,Unrequited Love,Based on a Manga
